city,population,city_lat,city_lng
Paris,2187526,48.85717000000005,2.3414000000000215
Marseille,863310,43.29337000000004,5.371320000000026
Lyon,516092,45.759190000000046,4.829660000000047
Toulouse,479553,43.60579000000007,1.448630000000037
Nice,340017,43.70025000000004,7.277740000000051
Nantes,309346,47.21811000000008,-1.5530599999999595
Montpellier,285121,43.61086000000006,3.8761200000000713
Strasbourg,280966,48.58504000000005,7.7364200000000665
Bordeaux,254436,44.836700000000064,-0.5810699999999542
Lille,232787,50.62820000000005,3.068810000000042
Rennes,216815,48.108040000000074,-1.6844899999999257
Reims,182460,49.26019000000008,4.02956000000006
Saint-Ã‰tienne,172565,45.43988000000007,4.395530000000065
Toulon,171953,43.116670000000056,5.933330000000069
Le Havre,170147,49.49359000000004,0.10097000000007483
